cmd,key1,gesture1,kscore1,gscore1,anot1,key2,gesture2,kscore2,gscore2,anot2,key3,gesture3,kscore3,gscore3,anot3,key4,gesture4,kscore4,gscore4,anot4,key5,gesture5,kscore5,gscore5,anot5,key6,gesture6,kscore6,gscore6,anot6,key7,gesture7,kscore7,gscore7,anot7,key8,gesture8,kscore8,gscore8,anot8,key9,gesture9,kscore9,gscore9,anot9,key10,gesture10,kscore10,gscore10,anot10,key11,gesture11,kscore11,gscore11,anot11,key12,gesture12,kscore12,gscore12,anot12,key13,gesture13,kscore13,gscore13,anot13,key14,gesture14,kscore14,gscore14,anot14,key15,gesture15,kscore15,gscore15,anot15,key16,gesture16,kscore16,gscore16,anot16,key17,gesture17,kscore17,gscore17,anot17,key18,gesture18,kscore18,gscore18,anot18,key19,gesture19,kscore19,gscore19,anot19,key20,gesture20,kscore20,gscore20,anot20
Accept,Y,pull,7,7,,Y,top,7,5,,F9,towards,3,6,,enter,top,5,4,,enter,top,7,7,,A,top,6,6,,Y,top,7,7,,enter,top,7,7,,enter,towards,7,7,,Y,top,7,7,,A,pull,7,6,,X,left,4,4,,Y,top,6,7,,esc,towards,3,6,,enter,top,7,7,,A,top,6,6,,+,top,7,7,,M,LR,6,6,,A,top,7,7,,Y,LR,7,7,
Align bottom,A,towards,7,7,,A,towards,7,7,,shift,towards,,,,A,towards,5,4,,A,towards,7,7,,B,towards,6,6,,A,towards,7,7,,A,top+towards,7,7,,-,towards,7,7,,A,towards,7,7,,B,towards,7,7,,A,towards,7,5,,A,towards,6,7,,F6,towards,7,7,,J,towards,7,7,,A,towards,7,7,,win,towards,7,7,,J,towards,6,7,changed from U,O,top,7,7,,A,towards,7,7,
Align justify,A,pull,7,7,,A,LR,7,6,,shift,pull,,,changed from menu,shiftR,LR,4,4,,A,away,7,6,,J,top,7,7,,A,FB,7,5,,J,top,5,5,,|,left+right(wiggle),6,6,,J,right,7,7,,J,pull,6,6,,J,push,7,4,,A,top,5,5,,F1,pull,5,6,,J,pull,7,7,changed from top,A,pull,6,6,,+,LR,5,6,,J,LR,7,5,changed from U,J,right,7,4,,A,pull,7,7,
Align left,A,left,6,6,,A,left,7,7,,shift,left,,,,A,left,5,5,,A,left,7,7,,A,left,7,7,,A,left,7,7,,A,top+left,7,7,,[,left,7,7,,A,left,7,7,changed from L,L,left,7,7,,A,left,7,6,,A,left,7,7,,F6,left,7,7,,J,left,7,7,,A,left,7,7,,menu,left,6,7,,J,left,6,6,changed from U,[,left,7,7,,A,left,6,6,
Align middle,A,FB,6,6,changed K score from 5,A,FB,7,7,,shift,top,4,6,changed from M. [coding change from top/FB (typo)],A,FB,5,5,,A,top,7,7,,D,towards,6,6,,A,LR,7,7,,A,top,7,7,,+,pull,7,7,,A,FB,7,7,,M,FB,7,7,,A,FB,7,5,,A,FB,7,7,,F6,top,5,7,changed from LR,J,top,7,7,,A,top,6,6,,win,LR,7,7,,J,top,6,6,,%,top,7,4,changed from pull,A,FB,7,7,
Align right,A,right,7,7,,A,right,7,7,,shift,right,,,changed from R,A,right,5,6,changed from left,A,right,7,7,,A,right,7,7,,A,right,7,7,,A,top+right,7,7,,],right,7,7,,A,right,7,7,,R,right,7,7,,A,right,7,7,,A,right,7,7,,F6,right,5,7,,J,right,7,7,,A,right,7,7,,win,right,7,7,,J,right,7,7,,],right,7,7,,A,right,7,7,
Align top,A,away,6,6,,A,away,7,7,,shift,away,,,,A,away,5,5,,A,away,7,7,,T,top,7,7,,A,away,7,7,,A,top+away,7,7,,-,right,7,7,,A,away,7,7,changed from T,T,away,7,7,,A,away,7,5,,A,away,5,7,K Score changed from 7,F6,away,7,7,,J,away,7,7,,A,away,7,7,,win,away,7,7,[coding change from V (typo)],J,away,7,7,changed from U,O,pull,7,2,changed from -. changed from away. G score changed from 2,A,away,7,7,
Close,X,top,5,5,,O,pull,3,6,,esc,LR,6,5,,X,away,4,4,,backspace,CCW,7,6,,C,top,6,6,,backspace,top,7,7,,esc,top,7,7,,F4,away,5,7,,X,top,7,7,,C,LR,7,6,,C,top,7,4,,O,towards,5,6,,esc,top,7,7,,F4,top,6,6,,C,top,6,6,,win,CCW,6,7,,P,CCW,7,6,,spacebar,top,7,7,,C,top,5,7,changed K score from 6
Copy,C,top,7,6,changed top -> FB -> top. G score from 5,C,top,7,4,,C,towards,7,4,,capslock,FB,3,4,,C,away,7,7,,C,towards,6,6,,C,top,7,7,,C,top,7,7,,C,towards,6,7,,C,LR,7,7,changed from top,C,top,7,7,,C,FB,5,5,,C,top,7,7,,C,top,7,6,changed from LR,C,top,6,6,,C,LR,6,6,,+,top-double,7,7,,K,FB,7,5,changed from U,C,top,7,7,,C,top,7,7,
Cut,C,away,6,7,,X,top,6,6,,X,top,6,6,,capslock,LR,4,4,,X,away,7,7,,C,away,5,5,,C,LR,7,7,changed K score from 5,X,top,7,7,,C,away,7,7,,C,pull,7,7,changed from X,X,top,7,7,,C,LR,6,4,,X,top,7,6,,backspace,LR,7,5,,X,top,7,6,,C,pull,7,7,,-,left,7,7,,K,pull,6,6,,C,away,7,4,,X,top,7,7,
