Referent,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
Rotate,handback,handback,handback,elbow,palm,palm,palm,palm,handback,palm,palm,handback,forearm,forearm,forearm,forearm,forearm,forearm,forearm,forearm,forearm,forearm
Zoom-in,handback,forearm,forearm,forearm,forearm,forearm,palm,forearm,palm,handback,palm,handback,forearm,forearm,forearm,handback,forearm,forearm,forearm,forearm,forearm,forearm
Zoom-out,handback,forearm,forearm,forearm,forearm,forearm,palm,forearm,palm,fingers,palm,handback,forearm,forearm,forearm,handback,forearm,forearm,forearm,forearm,forearm,forearm
Help,palm,handback,upperarm,upperarm,elbow,fingers,palm,upperarm,fingers,handback,handback,palm,forearm,handback,handback,handback,shoulder,forearm,palm,upperarm,forearm,forearm
Open,forearm,forearm,palm,forearm,forearm,handback,palm,upperarm,palm,forearm,handback,palm,forearm,forearm,forearm,handback,handback,upperarm+forearm,forearm,forearm,palm,forearm
Switch task,forearm,forearm,fingers,forearm,handback,forearm,palm,elbow,palm,forearm,fingers,fingers,forearm,handback,handback,forearm,forearm,forearm,forearm,forearm,forearm,forearm
Selection-Confirm,forearm,forearm,fingers,wrist,handback,handback,palm,forearm,palm,forearm,fingers,fingers,forearm,forearm,forearm,forearm,forearm,forearm,palm,forearm,palm,forearm
Selection-Numbered,forearm,forearm,fingers,wrist,fingers,handback,fingers,forearm,palm,forearm,fingers,fingers,forearm,forearm,fingers,handback,forearm,fingers,fingers,forearm,palm,forearm
Maximize,forearm,forearm,handback,palm,handback,forearm,palm,palm,palm,handback,fingers,palm,forearm,wrist,handback,forearm,forearm,forearm,forearm,forearm,shoulder,forearm
Enlarge,forearm,forearm,handback,palm,handback,forearm,palm,palm,palm,handback,palm,palm,forearm,handback,forearm,forearm,forearm,forearm,forearm,forearm,forearm,forearm
Shrink,forearm,forearm,handback,palm,handback,forearm,palm,palm,palm,handback,palm,palm,forearm,handback,forearm,forearm,forearm,forearm,forearm,forearm,forearm,forearm
Minimize,forearm,forearm,handback,palm,handback,forearm,palm,palm,palm,handback,palm+fingers,palm,forearm,wrist,handback,forearm,forearm,forearm,forearm,forearm,fingers,forearm
Close-hide,palm,handback,forearm,forearm,forearm,palm,palm,upperarm,palm,forearm,handback,handback,forearm,forearm,forearm,handback,forearm,forearm,forearm,handback,palm,fingers
Close,palm,palm,forearm,forearm,forearm,palm,palm,upperarm,palm,forearm,handback,handback,forearm,forearm,handback,handback,forearm,forearm,forearm,handback,palm,fingers
Force-close,palm,handback,forearm,forearm,forearm,palm,palm,upperarm,palm,forearm,fingers+handback,handback,forearm,forearm,forearm,handback,forearm,forearm,forearm,handback,handback,fingers
Delete-Temp,palm,handback,forearm,fingers,forearm,forearm,palm,handback,handback,forearm,handback,handback+fingers,forearm,forearm,forearm,forearm,forearm,forearm,forearm,forearm,palm,forearm
Delete-Perm,palm,palm,forearm,fingers,forearm,forearm,palm,handback,palm,forearm,handback,handback,forearm,forearm,forearm,forearm,forearm,forearm,forearm,forearm,handback,forearm
Move-less,palm,forearm,forearm,upperarm,handback,forearm,palm,handback,palm,forearm,forearm,upperarm,forearm,handback,forearm,forearm,forearm,forearm,forearm,forearm,forearm,forearm
Move-more,palm,forearm,forearm,upperarm,handback,forearm,palm,handback,palm,forearm,forearm,forearm,forearm,handback,forearm,forearm,forearm,forearm,forearm,forearm,forearm,forearm
Previous,any,forearm,wrist,forearm,palm,forearm,palm,handback,palm,forearm,fingers,handback,forearm,wrist,palm,forearm,forearm,forearm,forearm,forearm,forearm,forearm
