Referent,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22
Rotate,slide,slide,slide,twist,slide,slide,slide,slide,twist,slide,slide,shear,slide,slide,twist,slide,slide,twist,slide,twist,slide,twist
Zoom-in,slide,slide,slide,slide,slide,slide,slide,slide,slide,push-press,slide,pull,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide
Zoom-out,slide,slide,slide,slide,slide,slide,slide,slide,slide,push-press,slide,squeeze,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide
Help,slide,tap,grab+squeeze,grab+squeeze,pull+twist,slide,tap,tap,grab,slide,push-press,tap,slide,push-press,slide,tap,tap,pull,tap,grab+squeeze,scratch,push+slide
Open,tap,slide,push-press,grab+squeeze,slide,slide,tap,slide,tap,slide,slide-swipe,slide,tap,grab+squeeze,tap,touch,tap,slide,slide,slide,tap,tap
Switch task,slide,slide,grab+push-press,slide,twist,slide,slide-swipe,poke,slide,shear,slide,slide,slide,slide,slide-swipe,slide,twist,slide,tap,touch+slide,slide,slide
Selection-Confirm,slide,grab+squeeze,tap,grab,slide,push,tap,slide,push,slide,touch,tap,tap,tap,tap,pull,slide,slide,slide,push,tap,tap
Selection-Numbered,slide,grab+squeeze,tap,grab,grab,push,tap,slide,push,slide,tap,tap,tap,slide,tap,tap,slide,tap,tap,push,tap,slide
Maximize,slide,tap,tap,slide,slide,slide+tap,slide,slide,push,slide,tap,slide,tap,slide+pressure,tap,slide,slide,tap,slide,touch,tap-touch,slide+tap
Enlarge,slide,tap,tap,slide,slide,slide,slide,slide,slide,slide,tap,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide
Shrink,slide,tap,tap,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide,slide
Minimize,slide,tap,tap,slide,slide,slide+tap,slide,slide,slide,slide,slide,slide,tap,slide+pressure,tap,slide,slide,tap,slide,touch,tap-touch,slide+tap
Close-hide,slide,slide,tap,grab,slide,slide-swipe,slide,slide,slide,slide,slide-swipe,slide-swipe,slide,slide,slide-swipe,touch,pull,slide-rub,slide,slide,slide,push+move
Close,slide,slide,tap,grab,slide,slide-swipe,slide-swipe,slide,push,slide,slide-swipe,tap,slide,slide,slide-swipe,tap,twist,push,slide,slide,slide,push+move
Force-close,push-press,tap,push-press,grab,slide,tap+slide-swipe,slide-swipe+push,slide,push,grab+twist,grab+squeeze,push-press,slide,push,slide-rub,tap,slap,push,slide,slide+push-press,slide,push+move
Delete-Temp,twist,slide,slide,scratch,slide,slide,slide-swipe,slide-swipe,twist,slide,scratch,slide-swipe,push-press,slide,slide-swipe,pull,tap,slide-rub,push+slide,slide,slide-swipe,scratch
Delete-Perm,slide,slide,slide,scratch,slide,slide,slide-swipe,pull,twist,slide,scratch+twist,slide-swipe,push-press,slide-rub,slide-swipe,slide,pull,push-press,pinch-squeeze,slide,slide-swipe,scratch
Move-less,slide,slide,slide,slide,slide,touch,slide-flip,slide,slide,slide,slide,slide,slide,tap,slide-swipe,slide,slide,tap,slide,slide,slide,grab+slide
Move-more,slide,slide,slide,slide,slide,slide,slide-flip,slide,slide,slide,slide-swipe,slide,slide,push-press+slide,slide-swipe,push-press+slide,slide,tap,slide,tap,slide,grab+slide
Previous,slide,twist,squeeze,scratch,push-press,slide,slide,tap,slide,slide,slide,slide,slide,push-press,tap,slide,slide,slide,slide,slide,slide,slide
Next,slide,twist,squeeze,scratch,push-press,slide,slide,tap,slide,slide,slide,slide,slide,push-press,tap,slide,slide,slide,slide,slide,slide,slide
Undo,slide,scratch,slide,slide,slide,tap,slide,shear,slide-swipe,slide,tap,twist,slap,slide,slide-swipe,slide,slide,twist,slide-swipe,twist,slide,tap
Redo,slide,scratch,slide,grab,slide,tap,tap,shear,slide-swipe,slide,slide-swipe,twist,slap,slide,slide-swipe,slide,clap,twist,slide-swipe,twist,slide,slide
Shuffle,slide,slide-tickle,shear,slide,slide,twist,slide,shear,slide,slide,push-press,slide,squeeze,slide,slide-rub,scratch,grab+rotate,squeeze+shake,shear,slide,slide-rub,tap
Mute,tap,tap,tap,pull,tap,push-press,slide-swipe,tap,push,slide,tap,slide,twist,twist,grab-cover,tap,slap,push,slide-swipe,push,tap,shear
IncrVolume,slide,slide,slide,slide,slide,push-press,tap,slide,slide,slide,slide,slide,pull,tap,slide,slide,slide,slide,slide,slide,slide,shear
DecrVolume,slide,slide,slide,slide,slide,push-press,tap,slide,slide,slide,slide,slide,pull,tap,slide,slide,slide,slide,slide,slide,slide,shear
AcceptCall,slide,slide,grab,slide,slide,push-press,tap,clap,push-press,slide,touch,tap,grab,tap,slide-swipe,tap,slide-swipe,slide,slide-swipe,slide,tap,touch+move
